jurisdiction,2019 average score,2019 basic achievement percantage,2019 proficiency percentage
DoDEA,235,83,49
Massachusetts,231,76,45
New Jersey,227,72,42
Wyoming,227,73,41
Utah,225,72,40
Colorado,225,71,40
Florida,225,70,38
Connecticut,224,70,40
New Hampshire,224,71,38
Virginia,224,69,38
Pennsylvania,223,68,40
Idaho,223,69,37
Minnesota,222,69,38
Nebraska,222,69,37
South Dakota,222,69,36
Ohio,222,68,36
Vermont,222,68,37
Indiana,222,67,37
Montana,222,69,36
North Carolina,221,67,36
Maine,221,67,36
North Dakota,221,69,34
Kentucky,221,67,35
Iowa,221,68,35
Rhode Island,220,66,35
Maryland,220,64,35
Wisconsin,220,66,36
Washington,220,65,35
New York,220,66,34
National public,219,65,34
Mississippi,219,65,32
Kansas,219,66,34
Tennessee,219,66,35
Michigan,218,64,32
Illinois,218,64,34
Missouri,218,64,34
Georgia,218,63,32
Oregon,218,64,34
Delaware,218,62,33
Nevada,218,64,31
Hawaii,218,63,34
California,216,63,32
Oklahoma,216,63,29
Texas,216,61,30
South Carolina,216,61,32
Arizona,216,61,31
Arkansas,215,62,31
District of Columbia,214,57,30
West Virginia,213,60,30
Alabama,212,58,28
Louisiana,210,55,26
New Mexico,208,53,24
Alaska,204,53,25
Puerto Rico,,,